desertionNo,kindNm,colorCd,specialMark,sexCd,happenPlace,orgNm,processState,popfile1
445479202600537,믹스묘,갈색, 새끼 고양이 . (30일정도),Q, 상서면 내변산로 1840-7,전북특별자치도 부안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191505844.jpg
445470202600661,믹스묘,기타(믹스),색이 알록달록하고 눈이 똥그래 귀여운 아이입니다.,F,주생면,전북특별자치도 남원시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191405781.jpg
445470202600660,믹스묘,기타(믹스),색이 알록달록해 귀여운 아이입니다.,F,금동,전북특별자치도 남원시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260519080526.jpg
445468202601267,한국 고양이,기타(갈색),생후 3일정도 되었음,M,익산시 낭산면 소도1길 18,전북특별자치도 익산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191405563.jpg
445467202601071,믹스묘,기타(고등어),3주추정,F,군산유치원,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260519160586.jpg
445467202601070,믹스묘,기타(삼색),4주추정,F,산단 남북로 56 리팩토리,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605505[2].jpg
445467202601069,믹스묘,기타(검/흰),4주추정,F,산단 남북로 56 리팩토리,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605505[1].jpg
445467202601068,믹스묘,기타(검/흰),4주추정,F,산단 남북로 56 리팩토리,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605464[1].jpg
445467202601067,믹스묘,기타(검/흰),4주추정,F,산단 남북로 56 리팩토리,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605937.jpg
445467202601062,믹스묘,기타(검/갈),생후1주추정,M,군산시 미룡동탑부동산 뒷편,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191505739.jpg
445464202601783,한국 고양이,기타(카오스),어미잃은새끼고양이,F,금암6길27-4,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605923.jpg
445464202601782,한국 고양이,기타(치즈색),어미잃은새끼고양이,F,금암6길27-4,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605665.jpg
445464202601781,한국 고양이,기타(검정흰색),어미잃은새끼고양이,M,팔달로363-10,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605489.jpg
445464202601780,한국 고양이,검은색흰색황토색조합,생후 1개월 추정/ 손 탐,F,성지산 근린공원 쓰레기장,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191405535.jpg
444457202600276,한국 고양이,검은색흰색황토색조합,왼쪽 눈 염증치료,F,부여읍 부소산 인근,충청남도 부여군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191505480.jpg
444451202600518,한국 고양이,레몬색&흰색,.,M,보령시 주교면 가운데벌길 28,충청남도 보령시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305916[1].jpg
444451202600517,한국 고양이,흰색/검은색 얼룩무늬,.,M,보령시 주교면 가운데벌길 28,충청남도 보령시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605190905539.jpg
444451202600516,한국 고양이,레몬색&흰색,.,M,보령시 주교면 가운데벌길 28,충청남도 보령시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605190805307.jpg
443571202601158,레그돌,"기타(갈색, 흰색)","3주 전 첫 발견, 겁이 많은 친구",M,내수읍 공군부대 관사 부근,충청북도 청주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519170585.jpeg
443443202600347,한국 고양이,흰색/검은색 얼룩무늬,"[관리번호189]이원면 강청리에 위치한 민가 인근에서 발견,교통사고로 앞다리 파행",F,이원면,충청북도 옥천군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191805154.jpeg
442434202600225,한국 고양이,흰색/검은색 얼룩무늬,순함.,F,파인리즈리조트 기숙사 지하,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305154.jpg
442434202600224,한국 고양이,흰색/검은색 얼룩무늬,순함.,M,파인리즈리조트 기숙사 지하,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305812.jpg
442434202600223,한국 고양이,흰색/검은색 얼룩무늬,순함.,F,파인리즈리조트 기숙사 지하,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305908.jpg
442434202600222,한국 고양이,흰색/검은색 얼룩무늬,순함.,F,파인리즈리조트 기숙사 지하,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305540.jpg
442434202600221,한국 고양이,기타(보리색),순함,M,강원특별자치도 고성군 토성면 경동대,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519110566.jpg
442434202600220,한국 고양이,검정색,순함,F,강원특별자치도 고성군 토성면 경동대,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191105162.jpg
442434202600219,한국 고양이,검정색,순함,M,강원특별자치도 고성군 토성면 경동대,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191105491.jpg
442420202600257,한국 고양이,"기타(검정,흰색)",어미없이 혼자발견,Q,해람중학교 부근,강원특별자치도 강릉시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519160562.png
441554202601044,한국 고양이,기타(삼색),"5-58, 3일령 젖먹이, 죽은 형제들과 함께 발견됨, 저체온",F,광주시 퇴촌면 광동로 일대,경기도 광주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705623.jpg
